SM-CJGNX	553_120517
SM-CJGNS	394_120503
SM-CJGNT	676_120604
SM-CJGNQ	206_120424
SM-CJGO3	237_120426
SM-CJGNP	292_120430
SM-CJGNM	77_120417
SM-CJGNN	428_120507
SM-CJGNK	534_120516
SM-CJGNL	440_120507
SM-CJGNI	240_120426
SM-CJGNJ	565_120517
SM-CJGNE	294_120430
SM-CJGNF	93_120417
SM-CJGNC	408_120503
SM-CJGLZ	234_120425
SM-CJGM9	391_120503
SM-CJGLU	269_120430
SM-CJGM7	215_120425
SM-CJGLV	358_120502
SM-CJGM4	183_120424
SM-CJGLS	291_120430
SM-CJGM5	310_120430
SM-CJGLT	487_120515
SM-CJGM3	664_120530
SM-CJGLP	711_120531
SM-CJGLM	641_120524
SM-CJGLI	30_120416
SM-CJGLJ	541_120516
SM-CJGLG	564_120517
SM-CJGLH	680_120604
SM-CJGLE	474_120514
SM-CJGLF	159_120423
SM-CJGLD	462_120514
SM-CJGMZ	691_120605
SM-CJGMX	468_120514
SM-CJGN9	56_120417
SM-CJGN7	560_120517
SM-CJGMV	669_120530
SM-CJGMU	909_131031
SM-CJGMR	956_131107
SM-CJGMS	865_130911
SM-CJGN4	844_130830
SM-CJGN1	12_120410
SM-CJGMQ	775_130528
SM-CJGMO	876_130918
SM-CJGML	952_131107
SM-CJGMJ	957_131107
SM-CJGMK	778_130528
SM-CJGMH	834_130729
MAP50108462	685_120604
SM-CJGHY	370_120502
SM-CJGI8	632_120524
SM-CJGI9	554_120517
SM-CJGHX	633_120524
SM-CJGHV	149_120419
SM-CJGHS	270_120430
SM-CJGI4	493_120515
SM-CJGI5	289_120430
SM-CJGHQ	619_120524
SM-CJGHO	96_120417
SM-CJGI1	932_131101
SM-CJGHN	37_120416
SM-CJGHI	26_120411
SM-CJGHJ	24_120411
SM-CJGHG	78_120417
SM-CJGHH	386_120503
SM-CJGHE	444_120507
SM-CJGHF	469_120514
SM-CJGHD	412_120503
SM-CJGHB	580_120521
SM-CJGGZ	284_120430
SM-CJGIX	399_120503
SM-CJGJ9	136_120419
SM-CJGIY	306_120430
SM-CJGJ7	425_120507
SM-CJGIW	177_120424
SM-CJGJ8	617_120524
SM-CJGJ5	506_120515
SM-CJGIT	271_120430
SM-CJGIR	539_120516
SM-CJGJ3	300_120430
SM-CJGIS	681_120604
SM-CJGJ4	481_120514
SM-CJGJ1	458_120507
SM-CJGIQ	245_120426
SM-CJGJ2	453_120507
SM-CJGIN	445_120507
SM-CJGIL	716_120531
SM-CJGIM	267_120430
SM-CJGIJ	120_120418
SM-CJGIH	500_120515
SM-CJGII	20_120411
SM-CJGIG	538_120516
SM-CJGID	613_120523
SM-CJGIE	571_120521
SM-CJGIB	340_120501
SM-CJGIA	197_120424
SM-CJGH9	81_120417
SM-CJGGY	145_120419
SM-CJGH7	70_120417
SM-CJGGV	193_120424
SM-CJGGW	472_120514
SM-CJGH8	574_120521
SM-CJGGT	51_120416
SM-CJGGU	368_120502
SM-CJGGR	501_120515
SM-CJGGS	52_120416
SM-CJGGP	116_120418
SM-CJGH1	344_120501
SM-CJGGQ	227_120425
SM-CJGH2	464_120514
SM-CJGGN	141_120419
SM-CJGGO	29_120416
SM-CJGGM	303_120430
SM-CJGGK	582_120521
SM-CJK5Q	173_120424
SM-CJK5J	426_120507
SM-CJK5K	388_120503
SM-CJK5I	111_120418
SM-CJK5F	557_120517
SM-CJK5G	516_120515
SM-CJK5D	478_120514
SM-CJK5E	327_120501
SM-CJK4A	889_130923
SM-CJK3X	644_120524
