R5609	Br1947
PENN_RNA_PFC_63	0_PENN_63
MSSM_RNA_PFC_151	0_MSSM_151
MSSM_RNA_PFC_161	0_MSSM_161
PITT_RNA_BP_PFC_1081	0_Pitt_BP_1081
MSSM_RNA_PFC_192	0_MSSM_192
PITT_RNA_PFC_1453	0_PITT_1453
PENN_RNA_PFC_5	0_PENN_5
MSSM_RNA_PFC_62	0_MSSM_62
PITT_RNA_PFC_1284	0_PITT_1284
PITT_RNA_PFC_656	0_PITT_656
MSSM_RNA_PFC_15	0_MSSM_15
PITT_RNA_BP_PFC_1605	0_Pitt_BP_1605
MSSM_RNA_PFC_208	0_MSSM_208
MSSM_RNA_PFC_390	0_MSSM_390
PITT_RNA_PFC_1026	0_PITT_1026
MSSM_RNA_PFC_189	0_MSSM_189
PITT_RNA_PFC_829	0_PITT_829
MSSM_RNA_PFC_124	0_MSSM_124
PITT_RNA_PFC_1209	0_PITT_1209
MSSM_RNA_PFC_22	0_MSSM_22
MSSM_RNA_PFC_108	0_MSSM_108
MSSM_RNA_PFC_240	0_MSSM_240
PITT_RNA_PFC_622	0_PITT_622
PENN_RNA_PFC_45	0_PENN_45
MSSM_RNA_BP_PFC_10	0_MSSM_BP_10
PENN_RNA_PFC_87	0_PENN_87
PITT_RNA_PFC_1466	0_PITT_1466
PITT_RNA_PFC_1240	0_PITT_1240
PENN_RNA_PFC_49	0_PENN_49
MSSM_RNA_PFC_101	0_MSSM_101
MSSM_RNA_PFC_257	0_MSSM_257
MSSM_RNA_PFC_99	0_MSSM_99
PITT_RNA_PFC_1706	0_PITT_1706
MSSM_RNA_PFC_97	0_MSSM_97
MSSM_RNA_PFC_306	0_MSSM_306
MSSM_RNA_PFC_336	0_MSSM_336
MSSM_RNA_PFC_316	0_MSSM_316
PENN_RNA_PFC_4	0_PENN_4
PITT_RNA_PFC_806	0_PITT_806
PENN_RNA_PFC_8	0_PENN_8
MSSM_RNA_PFC_132	0_MSSM_132
PITT_RNA_PFC_1122	0_PITT_1122
MSSM_RNA_PFC_359	0_MSSM_359
MSSM_RNA_PFC_175	0_MSSM_175
PITT_RNA_PFC_1558	0_PITT_1558
PENN_RNA_PFC_73	0_PENN_73
MSSM_RNA_PFC_8	0_MSSM_8
MSSM_RNA_PFC_377	0_MSSM_377
PENN_RNA_PFC_56	0_PENN_56
MSSM_RNA_PFC_301	0_MSSM_301
PENN_RNA_PFC_25	0_PENN_25
PITT_RNA_PFC_1314	0_PITT_1314
PITT_RNA_BP_PFC_1449	0_Pitt_BP_1449
PITT_RNA_BP_PFC_1044	0_Pitt_BP_1044
PITT_RNA_PFC_1734	0_PITT_1734
MSSM_RNA_PFC_157	0_MSSM_157
PITT_RNA_BP_PFC_1482	0_Pitt_BP_1482
MSSM_RNA_PFC_143	0_MSSM_143
PENN_RNA_PFC_64	0_PENN_64
PENN_RNA_PFC_70	0_PENN_70
MSSM_RNA_PFC_155	0_MSSM_155
PITT_RNA_PFC_1524	0_PITT_1524
PITT_RNA_PFC_1188	0_PITT_1188
PENN_RNA_PFC_101	0_PENN_101
MSSM_RNA_PFC_56	0_MSSM_56
PENN_RNA_PFC_54	0_PENN_54
MSSM_RNA_PFC_309	0_MSSM_309
MSSM_RNA_PFC_313	0_MSSM_313
MSSM_RNA_BP_PFC_13	0_MSSM_BP_13
MSSM_RNA_PFC_81	0_MSSM_81
PITT_RNA_BP_PFC_1020	0_Pitt_BP_1020
PITT_RNA_PFC_1189	0_PITT_1189
MSSM_RNA_PFC_380	0_MSSM_380
MSSM_RNA_PFC_330	0_MSSM_330
PITT_RNA_BP_PFC_1247	0_PITT_1247
MSSM_RNA_PFC_45	0_MSSM_45
MSSM_RNA_PFC_277	0_MSSM_277
MSSM_RNA_PFC_129	0_MSSM_129
MSSM_RNA_BP_PFC_18	0_MSSM_BP_18
PITT_RNA_PFC_902	0_PITT_902
MSSM_RNA_PFC_339	0_MSSM_339
MSSM_RNA_PFC_210	0_MSSM_210
MSSM_RNA_PFC_391	0_MSSM_391
PITT_RNA_PFC_1099	0_PITT_1099
MSSM_RNA_PFC_254	0_MSSM_254
PITT_RNA_PFC_1256	0_PITT_1256
MSSM_RNA_PFC_302	0_MSSM_302
PENN_RNA_PFC_99	0_PENN_99
PITT_RNA_PFC_10025	0_PITT_10025
PENN_RNA_PFC_85	0_PENN_85
MSSM_RNA_PFC_120	0_MSSM_120
MSSM_RNA_PFC_261	0_MSSM_261
MSSM_RNA_PFC_38	0_MSSM_38
PENN_RNA_PFC_74	0_PENN_74
PENN_RNA_PFC_2	0_PENN_2
MSSM_RNA_PFC_30	0_MSSM_30
MSSM_RNA_PFC_102	0_MSSM_102
MSSM_RNA_PFC_197	0_MSSM_197
PENN_RNA_PFC_20	0_PENN_20
PITT_RNA_BP_PFC_1598	0_Pitt_BP_1598
PENN_RNA_PFC_35	0_PENN_35
MSSM_RNA_PFC_348	0_MSSM_348
MSSM_RNA_PFC_319	0_MSSM_319
MSSM_RNA_PFC_209	0_MSSM_209
MSSM_RNA_PFC_123	0_MSSM_123
MSSM_RNA_PFC_374	0_MSSM_374
MSSM_RNA_PFC_6	0_MSSM_6
PITT_RNA_PFC_1712	0_PITT_1712
PENN_RNA_PFC_9	0_PENN_9
PITT_RNA_BP_PFC_984	0_Pitt_BP_984
MSSM_RNA_PFC_314	0_MSSM_314
MSSM_RNA_BP_PFC_11	0_MSSM_BP_11
PITT_RNA_BP_PFC_849	0_Pitt_BP_849
PITT_RNA_BP_PFC_1637	0_Pitt_BP_1637
PITT_RNA_PFC_566	0_PITT_566
PITT_RNA_PFC_1792	0_PITT_1792
PITT_RNA_BP_PFC_1244	0_Pitt_BP_1244
MSSM_RNA_PFC_341	0_MSSM_341
MSSM_RNA_PFC_179	0_MSSM_179
MSSM_RNA_PFC_295	0_MSSM_295
MSSM_RNA_BP_PFC_24	0_MSSM_BP_24
PITT_RNA_BP_PFC_1328	0_Pitt_BP_1328
PITT_RNA_BP_PFC_841	0_Pitt_BP_841
PITT_RNA_PFC_10020	0_PITT_10020
PENN_RNA_PFC_19	0_PENN_19
MSSM_RNA_PFC_355	0_MSSM_355
PENN_RNA_PFC_98	0_PENN_98
MSSM_RNA_PFC_251	0_MSSM_251
MSSM_RNA_PFC_329	0_MSSM_329
MSSM_RNA_PFC_136	0_MSSM_136
PITT_RNA_BP_PFC_1298	0_Pitt_BP_1298
PITT_RNA_PFC_787	0_PITT_787
MSSM_RNA_PFC_311	0_MSSM_311
PENN_RNA_PFC_61	0_PENN_61
PENN_RNA_PFC_55	0_PENN_55
MSSM_RNA_PFC_323	0_MSSM_323
PENN_RNA_PFC_3	0_PENN_3
PITT_RNA_BP_PFC_982	0_Pitt_BP_982
MSSM_RNA_BP_PFC_8	0_MSSM_BP_8
PITT_RNA_BP_PFC_1461	0_Pitt_BP_1461
MSSM_RNA_PFC_243	0_MSSM_243
PENN_RNA_PFC_88	0_PENN_88
PITT_RNA_PFC_1555	0_PITT_1555
PITT_RNA_PFC_987	0_PITT_987
PITT_RNA_BP_PFC_840	0_Pitt_BP_840
PENN_RNA_PFC_108	0_PENN_108
MSSM_RNA_PFC_121	0_MSSM_121
PITT_RNA_BP_PFC_1429	0_Pitt_BP_1429
PENN_RNA_PFC_40	0_PENN_40
PITT_RNA_BP_PFC_1695	0_Pitt_BP_1695
PITT_RNA_PFC_665	0_PITT_665
PENN_RNA_PFC_90	0_PENN_90
MSSM_RNA_PFC_291	0_MSSM_291
PITT_RNA_PFC_1374	0_PITT_1374
MSSM_RNA_PFC_147	0_MSSM_147
MSSM_RNA_PFC_67	0_MSSM_67
PITT_RNA_PFC_1282	0_PITT_1282
PITT_RNA_BP_PFC_1589	0_Pitt_BP_1589
MSSM_RNA_PFC_256	0_MSSM_256
MSSM_RNA_PFC_170	0_MSSM_170
PENN_RNA_PFC_76	0_PENN_76
PITT_RNA_BP_PFC_1444	0_Pitt_BP_1444
MSSM_RNA_PFC_140	0_MSSM_140
MSSM_RNA_PFC_343	0_MSSM_343
MSSM_RNA_PFC_149	0_MSSM_149
MSSM_RNA_PFC_354	0_MSSM_354
PITT_RNA_BP_PFC_10004	0_Pitt_BP_10004
MSSM_RNA_PFC_194	0_MSSM_194
PENN_RNA_PFC_28	0_PENN_28
MSSM_RNA_PFC_331	0_MSSM_304
PENN_RNA_PFC_53	0_PENN_53
MSSM_RNA_BP_PFC_2	0_MSSM_BP_2
PITT_RNA_BP_PFC_1293	0_Pitt_BP_1293
MSSM_RNA_BP_PFC_4	0_MSSM_BP_4
PITT_RNA_PFC_727	0_PITT_727
MSSM_RNA_PFC_248	0_MSSM_248
MSSM_RNA_PFC_33	0_MSSM_33
PENN_RNA_PFC_18	0_PENN_18
PENN_RNA_PFC_47	0_PENN_47
MSSM_RNA_PFC_165	0_MSSM_165
MSSM_RNA_PFC_345	0_MSSM_345
MSSM_RNA_PFC_289	0_MSSM_289
PITT_RNA_BP_PFC_1783	0_Pitt_BP_1783
PITT_RNA_PFC_1506	0_PITT_1506
PITT_RNA_PFC_1326	0_PITT_1326
PITT_RNA_PFC_933	0_PITT_933
MSSM_RNA_PFC_36	0_MSSM_36
MSSM_RNA_PFC_92	0_MSSM_92
PENN_RNA_PFC_27	0_PENN_27
MSSM_RNA_PFC_265	0_MSSM_265
PITT_RNA_PFC_1455	0_PITT_1455
PENN_RNA_PFC_31	0_PENN_31
MSSM_RNA_PFC_276	0_MSSM_276
PENN_RNA_PFC_32	0_PENN_32
MSSM_RNA_PFC_137	0_MSSM_137
PITT_RNA_PFC_1230	0_PITT_1230
PITT_RNA_PFC_988	0_PITT_988
MSSM_RNA_PFC_237	0_MSSM_237
MSSM_RNA_BP_PFC_7	0_MSSM_BP_7
PITT_RNA_PFC_852	0_PITT_852
MSSM_RNA_PFC_278	0_MSSM_278
MSSM_RNA_PFC_228	0_MSSM_228
MSSM_RNA_PFC_264	0_MSSM_264
PITT_RNA_BP_PFC_1180	0_Pitt_BP_1180
MSSM_RNA_PFC_52	0_MSSM_52
MSSM_RNA_PFC_57	0_MSSM_57
MSSM_RNA_PFC_286	0_MSSM_286
MSSM_RNA_PFC_48	0_MSSM_48
MSSM_RNA_PFC_1	0_MSSM_1
MSSM_RNA_PFC_163	0_MSSM_163
MSSM_RNA_PFC_253	0_MSSM_253
MSSM_RNA_PFC_272	0_MSSM_272
PITT_RNA_PFC_681	0_PITT_681
PITT_RNA_BP_PFC_1181	0_Pitt_BP_1181
MSSM_RNA_PFC_145	0_MSSM_145
PITT_RNA_BP_PFC_10014	0_Pitt_BP_10014
MSSM_RNA_PFC_11	0_MSSM_11
PITT_RNA_BP_PFC_1130	0_Pitt_BP_1130
MSSM_RNA_PFC_201	0_MSSM_201
PENN_RNA_PFC_95	0_PENN_95
MSSM_RNA_PFC_352	0_MSSM_352
MSSM_RNA_BP_PFC_12	0_MSSM_BP_12
MSSM_RNA_PFC_297	0_MSSM_297
MSSM_RNA_PFC_205	0_MSSM_205
MSSM_RNA_PFC_236	0_MSSM_236
MSSM_RNA_PFC_320	0_MSSM_320
MSSM_RNA_PFC_177	0_MSSM_177
PENN_RNA_PFC_86	0_PENN_86
PITT_RNA_BP_PFC_1048	0_Pitt_BP_1048
PITT_RNA_PFC_546	0_PITT_546
MSSM_RNA_PFC_106	0_MSSM_106
PENN_RNA_PFC_104	0_PENN_104
MSSM_RNA_PFC_187	0_MSSM_187
PITT_RNA_PFC_592	0_PITT_592
MSSM_RNA_PFC_42	0_MSSM_42
PITT_RNA_BP_PFC_838	0_Pitt_BP_838
MSSM_RNA_PFC_86	0_MSSM_86
MSSM_RNA_PFC_328	0_MSSM_328
PENN_RNA_PFC_34	0_PENN_34
MSSM_RNA_PFC_266	0_MSSM_266
PENN_RNA_PFC_69	0_PENN_69
MSSM_RNA_PFC_290	0_MSSM_290
MSSM_RNA_PFC_20	0_MSSM_20
PITT_RNA_PFC_1247	0_PITT_1247
PENN_RNA_PFC_17	0_PENN_17
MSSM_RNA_PFC_284	0_MSSM_284
PITT_RNA_PFC_685	0_PITT_685
MSSM_RNA_PFC_168	0_MSSM_168
MSSM_RNA_PFC_366	0_MSSM_366
MSSM_RNA_PFC_360	0_MSSM_360
PITT_RNA_PFC_1542	0_PITT_1542
MSSM_RNA_PFC_389	0_MSSM_389
MSSM_RNA_PFC_260	0_MSSM_27
PENN_RNA_PFC_59	0_PENN_59
MSSM_RNA_PFC_25	0_MSSM_25
PITT_RNA_PFC_1201	0_PITT_1201
PITT_RNA_PFC_10023	0_PITT_10023
MSSM_RNA_PFC_43	0_MSSM_43
PITT_RNA_PFC_1581	0_PITT_1581
MSSM_RNA_PFC_31	0_MSSM_31
MSSM_RNA_PFC_144	0_MSSM_144
PITT_RNA_PFC_1543	0_PITT_1543
MSSM_RNA_PFC_3	0_MSSM_3
PITT_RNA_BP_PFC_1069	0_Pitt_BP_1069
PENN_RNA_PFC_105	0_PENN_105
MSSM_RNA_PFC_202	0_MSSM_202
MSSM_RNA_PFC_82	0_MSSM_82
PITT_RNA_PFC_904	0_PITT_904
PITT_RNA_PFC_1472	0_PITT_1472
PENN_RNA_PFC_107	0_PENN_107
MSSM_RNA_PFC_112	0_MSSM_112
PITT_RNA_BP_PFC_1047	0_PITT_1047
MSSM_RNA_PFC_146	0_MSSM_146
MSSM_RNA_PFC_154	0_MSSM_154
MSSM_RNA_PFC_298	0_MSSM_298
MSSM_RNA_PFC_304	0_MSSM_260
PENN_RNA_PFC_1	0_PENN_1
PITT_RNA_BP_PFC_1789	0_Pitt_BP_1789
PENN_RNA_PFC_92	0_PENN_92
PITT_RNA_PFC_700	0_PITT_700
PITT_RNA_BP_PFC_1584	0_Pitt_BP_1584
MSSM_RNA_PFC_394	0_MSSM_394
MSSM_RNA_BP_PFC_15	0_MSSM_BP_15
MSSM_RNA_PFC_358	0_MSSM_358
MSSM_RNA_PFC_246	0_MSSM_246
MSSM_RNA_PFC_44	0_MSSM_44
PITT_RNA_PFC_1361	0_PITT_1361
SRR1047822	SAMN02441929
SRR1047827	SAMN02441931
SRR934792	SAMN02251119
SRR934797	SAMN02251120
SRR934982	SAMN02251125
SRR934798	SAMN02251123
SRR934985	SAMN02251127
SRR934793	SAMN02251117
SRR934799	SAMN02251121
SRR1033612	SAMN02388199
SRR1035125	SAMN02388201
SRR2015735	SAMN03651549
SRR2015729	SAMN03651543
SRR2015736	SAMN03651550
SRR2015727	SAMN03651541
SRR2015739	SAMN03651553
SRR2015737	SAMN03651551
SRR934779	SAMN02251101
SRR934775	SAMN02251100
SRR934772	SAMN02251095
SRR934774	SAMN02251096
SRR934786	SAMN02251104
SRR934773	SAMN02251097
SRR934972	SAMN02251342
SRR934932	SAMN02251340
SRR934980	SAMN02251346
SRR934935	SAMN02251337
SRR934929	SAMN02251339
SRR1004295	SAMN02369566
SRR3438894	SAMN04900942
SRR3438879	SAMN04900971
SRR3438862	SAMN04900954
SRR3438878	SAMN04900970
SRR3438906	SAMN04900952
SRR3438861	SAMN04900953
SRR3438881	SAMN04900972
SRR3438876	SAMN04900968
SRR3438867	SAMN04900959
SRR3438578	SAMN04901148
SRR3438574	SAMN04901146
SRR3438580	SAMN04901149
SRR3438572	SAMN04901145
SRR3438576	SAMN04901147
SRR359291	SAMN00744893
SRR359290	SAMN00744892
SRR1510131	SAMN02906829
SRR4407830	SAMN05891445
SRR4407835	SAMN05891449
SRR4407828	SAMN05891443
SRR4407836	SAMN05891450
SRR4407831	SAMN05891446
SRR4407833	SAMN05891447
SRR4407834	SAMN05891448
SRR4407837	SAMN05891451
SRR2070628	SAMN03288806
SRR2068830	SAMN03288807
SRR2070736	SAMN03288805
SRR2068820	SAMN03288808
SRR5283067	SAMN06445889
SRR945215	SAMN02297890
SRR934745	SAMN02251214
SRR934755	SAMN02251213
SRR934742	SAMN02251215
SRR934858	SAMN02251212
SRR934758	SAMN02251211
SRR934823	SAMN02251207
SRR934749	SAMN02251208
SRR5361446	SAMN06621746
SRR5361443	SAMN06621749
SRR5361451	SAMN06621741
SRR5361439	SAMN06621753
SRR5361440	SAMN06621752
SRR5361449	SAMN06621743
SRR5361450	SAMN06621742
SRR5361441	SAMN06621751
SRR5361444	SAMN06621748
SRR5361448	SAMN06621744
SRR934818	SAMN02251293
SRR934760	SAMN02251295
SRR934804	SAMN02251294
SRR934896	SAMN02251301
SRR934901	SAMN02251299
SRR934821	SAMN02251292
SRR934920	SAMN02251297
SRR3438630	SAMN04901115
SRR3438636	SAMN04901118
SRR3438638	SAMN04901119
SRR3438632	SAMN04901116
SRR3438634	SAMN04901117
SRR2015745	SAMN03651485
SRR2015758	SAMN03651499
SRR2015749	SAMN03651489
SRR2015755	SAMN03651496
SRR2015744	SAMN03651484
SRR2015747	SAMN03651487
SRR2015757	SAMN03651498
SRR2015752	SAMN03651493
SRR2015759	SAMN03651500
SRR2015750	SAMN03651490
SRR3141972	SAMN04455041
SRR3141976	SAMN04455045
SRR3141978	SAMN04455047
SRR3141979	SAMN04455048
SRR3141974	SAMN04455043
SRR3141969	SAMN04455038
SRR3141975	SAMN04455044
SRR3141973	SAMN04455042
SRR3438818	SAMN04901000
SRR3438833	SAMN04901012
SRR3438817	SAMN04900999
SRR3438827	SAMN04901009
SRR3438828	SAMN04901010
SRR3438823	SAMN04901005
SRR3438832	SAMN04901011
SRR3438825	SAMN04901007
SRR3438826	SAMN04901008
SRR3438824	SAMN04901006
SRR1521363	SAMN02928500
SRR1521362	SAMN02928499
SRR1521358	SAMN02928495
SRR1521356	SAMN02928493
SRR1521357	SAMN02928494
ERR103438	SAMEA1322586
ERR103435	SAMEA1322590
ERR103429	SAMEA1322589
ERR103436	SAMEA1322591
ERR103431	SAMEA1322592
ERR103427	SAMEA1322584
SRR934892	SAMN02251323
SRR934944	SAMN02251318
SRR934945	SAMN02251317
SRR934939	SAMN02251319
SRR934933	SAMN02251322
SRR934898	SAMN02251321
SRR2815990	SAMN04209706
SRR2815991	SAMN04209707
SRR2815989	SAMN04209705
SRR3438594	SAMN04901156
SRR3438596	SAMN04901157
SRR3438600	SAMN04901159
SRR3438598	SAMN04901158
SRR3438592	SAMN04901155
SRR1521382	SAMN02928459
SRR1521387	SAMN02928464
SRR1521385	SAMN02928462
SRR1521443	SAMN02928458
SRR1521445	SAMN02928457
SRR1521390	SAMN02928467
SRR1521384	SAMN02928461
SRR2816098	SAMN04209745
SRR2816096	SAMN04209743
SRR2816097	SAMN04209744
SRR2816095	SAMN04209742
SRR934960	SAMN02251355
SRR934971	SAMN02251352
SRR934974	SAMN02251351
SRR934963	SAMN02251353
SRR934965	SAMN02251356
SRR934977	SAMN02251349
SRR934928	SAMN02251358
SRR934924	SAMN02251350
SRR934927	SAMN02251348
SRR934931	SAMN02251347
SRR3438837	SAMN04901168
SRR934885	SAMN02251255
SRR934741	SAMN02251257
SRR934740	SAMN02251253
SRR934879	SAMN02251249
SRR934862	SAMN02251259
SRR934730	SAMN02251258
SRR1521428	SAMN02928535
SRR1521414	SAMN02928521
SRR1521417	SAMN02928524
SRR1521425	SAMN02928532
SRR3438811	SAMN04900993
SRR3438816	SAMN04900998
SRR3438815	SAMN04900997
SRR3438812	SAMN04900994
SRR3438808	SAMN04900990
SRR3438813	SAMN04900995
SRR3438814	SAMN04900996
SRR3438807	SAMN04900989
SRR1047857	SAMN02441934
SRR1047862	SAMN02441944
SRR3438614	SAMN04901107
SRR3438616	SAMN04901108
SRR3438606	SAMN04901105
SRR3438612	SAMN04901106
SRR3438604	SAMN04901104
ERR1363367	SAMEA3931551
ERR1363376	SAMEA3931560
SRR1747198	SAMN03279863
SRR1747200	SAMN03279862
SRR1424678	SAMN02866078
SRR1424686	SAMN02866081
SRR1424676	SAMN02866076
SRR1424684	SAMN02866075
SRR1424680	SAMN02866083
SRR1424687	SAMN02866082
SRR1424683	SAMN02866079
SRR1424681	SAMN02866074
SRR1424682	SAMN02866080
SRR1424675	SAMN02866077
SRR1057969	SAMN02378285
SRR1057965	SAMN02378281
SRR1057960	SAMN02378278
SRR1057966	SAMN02378282
SRR3141998	SAMN04455068
SRR3142000	SAMN04455070
SRR3141999	SAMN04455069
SRR3141991	SAMN04455061
SRR3141995	SAMN04455065
SRR3141996	SAMN04455066
SRR3141992	SAMN04455062
SRR3141993	SAMN04455063
SRR3141994	SAMN04455064
SRR3141983	SAMN04455052
SRR3141984	SAMN04455053
SRR3141986	SAMN04455056
SRR3141981	SAMN04455050
SRR3141989	SAMN04455059
SRR3141982	SAMN04455051
SRR3141987	SAMN04455057
SRR3141990	SAMN04455060
SRR3141988	SAMN04455058
SRR1747210	SAMN03279836
SRR1747211	SAMN03279848
SRR1747187	SAMN03279840
SRR1747204	SAMN03279837
SRR1747176	SAMN03279844
SRR1747150	SAMN03279843
SRR1747208	SAMN03279838
SRR1747188	SAMN03279842
SRR1747185	SAMN03279833
SRR934964	SAMN02251366
SRR934976	SAMN02251362
SRR934979	SAMN02251361
SRR934967	SAMN02251367
SRR934956	SAMN02251365
SRR934961	SAMN02251368
SRR934962	SAMN02251359
SRR309144	SAMN00668210
ERR409744	SAMEA2300338
ERR409745	SAMEA2300339
SRR3438624	SAMN04901112
SRR3438626	SAMN04901113
SRR3438618	SAMN04901109
SRR3438622	SAMN04901111
SRR3438628	SAMN04901114
SRR2816111	SAMN04209758
SRR2816115	SAMN04209762
SRR2816112	SAMN04209759
SRR2816117	SAMN04209764
SRR5850225	SAMN06830458
SRR5850229	SAMN06830468
SRR943358	SAMN02265386
SRR943357	SAMN02265385
SRR1424670	SAMN02866063
SRR1424658	SAMN02866057
SRR1424667	SAMN02866062
SRR1424666	SAMN02866061
SRR1424664	SAMN02866059
SRR1424669	SAMN02866058
SRR1424661	SAMN02866060
SRR1424663	SAMN02866056
SRR1424660	SAMN02866055
SRR1424657	SAMN02866054
SRR934751	SAMN02251217
SRR934719	SAMN02251226
SRR934767	SAMN02251224
SRR934869	SAMN02251227
SRR934770	SAMN02251222
SRR934717	SAMN02251223
SRR934720	SAMN02251225
SRR1424704	SAMN02866104
SRR1424707	SAMN02866105
ERR1363352	SAMEA3931536
ERR1363360	SAMEA3931544
ERR315455	SAMEA2145743
ERR315432	SAMEA2154665
SRR1562546	SAMN03015192
SRR1562547	SAMN03015193
SRR1562544	SAMN03015190
SRR1562548	SAMN03015194
SRR934796	SAMN02251116
SRR934782	SAMN02251107
SRR934784	SAMN02251108
SRR934785	SAMN02251106
SRR934788	SAMN02251110
SRR934794	SAMN02251115
SRR2071360	SAMN02999532
SRR2071358	SAMN02999530
SRR1554548	SAMN02999531
SRR2071362	SAMN02999534
SRR2071363	SAMN02999535
SRR2071361	SAMN02999533
SRR1424685	SAMN02866087
SRR1424696	SAMN02866089
SRR1424688	SAMN02866090
SRR1424691	SAMN02866088
SRR1424679	SAMN02866085
SRR1424702	SAMN02866093
SRR1424690	SAMN02866084
SRR1424693	SAMN02866086
SRR1424694	SAMN02866092
SRR934827	SAMN02251287
SRR934831	SAMN02251285
SRR934769	SAMN02251284
SRR934810	SAMN02251288
SRR934722	SAMN02251281
SRR934824	SAMN02251290
SRR1047852	SAMN02441932
SRR1047842	SAMN02441933
SRR3627972	SAMN05163573
SRR3628388	SAMN05163571
SRR3627960	SAMN05163567
SRR3627971	SAMN05163572
SRR3627947	SAMN05163565
SRR3627961	SAMN05163568
SRR3628383	SAMN05163570
SRR3438584	SAMN04901151
SRR3438586	SAMN04901152
SRR3438582	SAMN04901150
SRR3438588	SAMN04901153
SRR3438590	SAMN04901154
SRR1554560	SAMN02999543
SRR1554557	SAMN02999540
SRR1554554	SAMN02999537
SRR1554555	SAMN02999538
SRR2071364	SAMN02999536
SRR2071367	SAMN02999539
SRR2071369	SAMN02999541
SRR1747168	SAMN03279831
SRR1747181	SAMN03279821
SRR1747147	SAMN03279827
SRR1747207	SAMN03279824
SRR1747192	SAMN03279828
SRR1747179	SAMN03279822
SRR1747202	SAMN03279830
SRR1747189	SAMN03279825
SRR1747172	SAMN03279823
SRR1747174	SAMN03279829
SRR5643556	SAMN07191141
SRR5643551	SAMN07191146
SRR5643558	SAMN07191139
SRR5643565	SAMN07191130
SRR309140	SAMN00668208
SRR309142	SAMN00668209
SRR309138	SAMN00668207
SRR5319471	SAMN06484434
SRR5319482	SAMN06484423
SRR5361455	SAMN06621737
SRR5361453	SAMN06621739
SRR5361452	SAMN06621740
SRR5361456	SAMN06621736
SRR5361460	SAMN06621732
SRR5361454	SAMN06621738
SRR5361459	SAMN06621733
SRR5361457	SAMN06621735
SRR5361458	SAMN06621734
SRR1424665	SAMN02866068
SRR1424674	SAMN02866071
SRR1424671	SAMN02866073
SRR1424677	SAMN02866072
SRR1424673	SAMN02866070
SRR1424672	SAMN02866064
SRR1424656	SAMN02866066
SRR1424668	SAMN02866069
SRR1424662	SAMN02866067
SRR1424659	SAMN02866065
SRR921943	SAMN02213477
SRR921939	SAMN02213470
SRR921945	SAMN02213475
SRR3627952	SAMN05163556
SRR3627953	SAMN05163557
SRR3627955	SAMN05163559
SRR3627954	SAMN05163558
SRR3627937	SAMN05163563
SRR3627951	SAMN05163555
SRR3627959	SAMN05163564
SRR3627958	SAMN05163562
SRR3627956	SAMN05163560
SRR3627957	SAMN05163561
SRR306838	SAMN00632232
SRR2815992	SAMN04209708
SRR2815993	SAMN04209709
SRR2815998	SAMN04209714
SRR3438789	SAMN04901031
SRR3438786	SAMN04901028
SRR3438787	SAMN04901029
SRR3438780	SAMN04901022
SRR3438771	SAMN04901013
SRR3438775	SAMN04901017
SRR3438784	SAMN04901026
SRR3438783	SAMN04901025
SRR3438788	SAMN04901030
SRR3438777	SAMN04901019
SRR934727	SAMN02251261
SRR934771	SAMN02251264
SRR934768	SAMN02251269
SRR934734	SAMN02251266
SRR934732	SAMN02251268
SRR934718	SAMN02251267
SRR934735	SAMN02251263
SRR934983	SAMN02251130
SRR934951	SAMN02251136
SRR934981	SAMN02251133
SRR934989	SAMN02251132
SRR934953	SAMN02251134
SRR934952	SAMN02251135
SRR934986	SAMN02251131
SRR1521435	SAMN02928540
SRR1521438	SAMN02928543
SRR1521436	SAMN02928541
SRR1521437	SAMN02928542
SRR1521430	SAMN02928537
SRR1521429	SAMN02928536
SRR1952228	SAMN02568927
SRR1952231	SAMN02568930
ERR1018457	SAMEA3541611
ERR1018443	SAMEA3541615
ERR103428	SAMEA1322594
ERR103423	SAMEA1322596
ERR103424	SAMEA1322600
ERR103421	SAMEA1322601
ERR103426	SAMEA1322599
SRR4407803	SAMN05891420
SRR4407809	SAMN05891426
SRR4407801	SAMN05891418
SRR4407802	SAMN05891419
SRR4407804	SAMN05891421
SRR4407807	SAMN05891424
SRR4407842	SAMN05891456
SRR4407844	SAMN05891457
SRR4407841	SAMN05891455
SRR4407839	SAMN05891453
SRR5361466	SAMN06621726
SRR5361468	SAMN06621724
SRR5361471	SAMN06621721
SRR5361467	SAMN06621725
SRR5361473	SAMN06621719
SRR5361470	SAMN06621722
SRR5361469	SAMN06621723
SRR5361462	SAMN06621730
SRR1004318	SAMN02369588
SRR1206045	SAMN02709068
SRR1521411	SAMN02928488
SRR1521404	SAMN02928481
SRR1521409	SAMN02928486
SRR1521403	SAMN02928480
SRR3438855	SAMN04901186
SRR3438839	SAMN04901170
SRR3438848	SAMN04901179
SRR3438854	SAMN04901185
SRR3438857	SAMN04901188
SRR3438846	SAMN04901177
SRR3438850	SAMN04901181
SRR3438838	SAMN04901169
SRR3438844	SAMN04901175
SRR3438843	SAMN04901174
SRR934891	SAMN02251308
SRR934904	SAMN02251311
SRR934899	SAMN02251305
SRR934947	SAMN02251313
SRR934848	SAMN02251309
SRR934812	SAMN02251314
SRR3438885	SAMN04900974
SRR3438892	SAMN04900982
SRR3438890	SAMN04900978
SRR3438805	SAMN04900987
