0_PITT_1361	PITT_RNA_PFC_1361
0_PITT_1350	PITT_RNA_PFC_1350
0_PITT_700	PITT_RNA_PFC_700
0_PITT_1341	PITT_RNA_PFC_1341
0_MSSM_313	MSSM_RNA_PFC_313
0_MSSM_312	MSSM_RNA_PFC_312
0_MSSM_315	MSSM_RNA_PFC_315
0_MSSM_311	MSSM_RNA_PFC_311
0_MSSM_310	MSSM_RNA_PFC_310
0_MSSM_316	MSSM_RNA_PFC_316
0_Pitt_BP_886	PITT_RNA_BP_PFC_886
0_MSSM_326	MSSM_RNA_PFC_326
0_MSSM_320	MSSM_RNA_PFC_320
0_MSSM_321	MSSM_RNA_PFC_321
0_MSSM_328	MSSM_RNA_PFC_328
0_MSSM_329	MSSM_RNA_PFC_329
0_MSSM_337	MSSM_RNA_PFC_337
0_MSSM_336	MSSM_RNA_PFC_336
0_MSSM_330	MSSM_RNA_PFC_330
0_MSSM_338	MSSM_RNA_PFC_338
0_MSSM_351	MSSM_RNA_PFC_351
0_MSSM_350	MSSM_RNA_PFC_350
0_MSSM_346	MSSM_RNA_PFC_346
0_MSSM_345	MSSM_RNA_PFC_345
0_MSSM_348	MSSM_RNA_PFC_348
0_MSSM_347	MSSM_RNA_PFC_347
0_MSSM_342	MSSM_RNA_PFC_342
0_MSSM_341	MSSM_RNA_PFC_341
0_MSSM_344	MSSM_RNA_PFC_344
0_MSSM_343	MSSM_RNA_PFC_343
0_Pitt_BP_838	PITT_RNA_BP_PFC_838
0_Pitt_BP_840	PITT_RNA_BP_PFC_840
0_Pitt_BP_841	PITT_RNA_BP_PFC_841
0_Pitt_BP_849	PITT_RNA_BP_PFC_849
0_MSSM_302	MSSM_RNA_PFC_302
0_MSSM_301	MSSM_RNA_PFC_301
0_MSSM_304	MSSM_RNA_PFC_331
0_MSSM_303	MSSM_RNA_PFC_303
0_MSSM_300	MSSM_RNA_PFC_300
0_MSSM_306	MSSM_RNA_PFC_306
0_MSSM_305	MSSM_RNA_PFC_305
0_MSSM_308	MSSM_RNA_PFC_308
0_MSSM_397	MSSM_RNA_PFC_397
0_MSSM_396	MSSM_RNA_PFC_396
0_MSSM_399	MSSM_RNA_PFC_399
