RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
A653_388	0_001_06_1	Braineac	EBB	Braineac
A653_184	0_013_09_1	Braineac	EBB	Braineac
A653_334	0_022_06_1	Braineac	EBB	Braineac
A653_087	0_014_09_1	Braineac	EBB	Braineac
A653_497	0_035_09_1	Braineac	EBB	Braineac
A653_209	0_025_09_1	Braineac	EBB	Braineac
A653_002	0_006_09_1	Braineac	EBB	Braineac
A653_742	0_003_08_1	Braineac	EBB	Braineac
A653_620	0_027_09_1	Braineac	EBB	Braineac
A653_1447	0_013_10_1	Braineac	EBB	Braineac
A653_030	0_005_09_1	Braineac	EBB	Braineac
A653_1432	0_98_27_1	Braineac	SHRI	Braineac
A653_917	0_012_10_1	Braineac	EBB	Braineac
A653_660	0_014_08_1	Braineac	EBB	Braineac
A653_891	0_002_10_1	Braineac	EBB	Braineac
A653_702	0_003_08_1	Braineac	EBB	Braineac
A653_1011	0_024_10_1	Braineac	EBB	Braineac
A653_225	0_004_08_1	Braineac	EBB	Braineac
A653_652	0_022_08_1	Braineac	EBB	Braineac
A653_519	0_020_07_1	Braineac	EBB	Braineac
A653_381	0_025_05_1	Braineac	EBB	Braineac
A653_1005	0_019_10_1	Braineac	EBB	Braineac
A653_1038	0_97_17_1	Braineac	SHRI	Braineac
A653_352	0_026_08_1	Braineac	EBB	Braineac
A653_489	0_018_05_1	Braineac	EBB	Braineac
A653_1397	0_03_28_1	Braineac	SHRI	Braineac
A653_864	0_014_08_1	Braineac	EBB	Braineac
A653_996	0_07_73_1	Braineac	SHRI	Braineac
A653_1067	0_021_10_1	Braineac	EBB	Braineac
A653_029	0_012_09_1	Braineac	EBB	Braineac
A653_956	0_002_10_1	Braineac	EBB	Braineac
A653_1281	0_08_55_1	Braineac	SHRI	Braineac
A653_156	0_021_08_1	Braineac	EBB	Braineac
A653_447	0_033_09_1	Braineac	EBB	Braineac
A653_1193	0_023_10_1	Braineac	EBB	Braineac
A653_1244	0_023_10_1	Braineac	EBB	Braineac
A653_331	0_018_06_1	Braineac	EBB	Braineac
A653_980	0_023_10_1	Braineac	EBB	Braineac
A653_379	0_035_06_1	Braineac	EBB	Braineac
A653_1409	0_97_37_1	Braineac	SHRI	Braineac
A653_347	0_040_08_1	Braineac	EBB	Braineac
A653_250	0_025_08_1	Braineac	EBB	Braineac
A653_243	0_021_09_1	Braineac	EBB	Braineac
A653_081	0_032_08_1	Braineac	EBB	Braineac
A653_617	0_029_09_1	Braineac	EBB	Braineac
A653_944	0_003_10_1	Braineac	EBB	Braineac
A653_098	0_032_08_1	Braineac	EBB	Braineac
A653_057	0_006_09_1	Braineac	EBB	Braineac
A653_308	0_015_09_1	Braineac	EBB	Braineac
A653_1341	0_01_37_1	Braineac	SHRI	Braineac
A653_003	0_023_08_1	Braineac	EBB	Braineac
A653_115	0_017_07_1	Braineac	EBB	Braineac
A653_803	0_038_09_1	Braineac	EBB	Braineac
A653_414	0_026_07_1	Braineac	EBB	Braineac
A653_301	0_026_09_1	Braineac	EBB	Braineac
A653_110	0_023_08_1	Braineac	EBB	Braineac
A653_277	0_036_08_1	Braineac	EBB	Braineac
A653_163	0_020_08_1	Braineac	EBB	Braineac
A653_235	0_017_07_1	Braineac	EBB	Braineac
A653_1143	0_024_10_1	Braineac	EBB	Braineac
A653_435	0_028_09_1	Braineac	EBB	Braineac
A653_283	0_017_09_1	Braineac	EBB	Braineac
A653_1441	0_013_10_1	Braineac	EBB	Braineac
A653_294	0_001_06_1	Braineac	EBB	Braineac
A653_705	0_007_06_1	Braineac	EBB	Braineac
A653_056	0_015_07_1	Braineac	EBB	Braineac
A653_219	0_014_09_1	Braineac	EBB	Braineac
A653_066	0_037_08_1	Braineac	EBB	Braineac
A653_555	0_034_08_1	Braineac	EBB	Braineac
A653_954	0_011_10_1	Braineac	EBB	Braineac
A653_1134	0_014_10_1	Braineac	EBB	Braineac
A653_052	0_015_09_1	Braineac	EBB	Braineac
A653_102	0_016_08_1	Braineac	EBB	Braineac
A653_173	0_011_09_1	Braineac	EBB	Braineac
A653_708	0_029_09_1	Braineac	EBB	Braineac
A653_965	0_001_10_1	Braineac	EBB	Braineac
A653_146	0_024_08_1	Braineac	EBB	Braineac
A653_182	0_025_05_1	Braineac	EBB	Braineac
A653_1424	0_032_10_1	Braineac	EBB	Braineac
A653_516	0_028_08_1	Braineac	EBB	Braineac
A653_107	0_007_09_1	Braineac	EBB	Braineac
A653_719	0_035_09_1	Braineac	EBB	Braineac
A653_054	0_016_09_1	Braineac	EBB	Braineac
A653_485	0_043_06_1	Braineac	EBB	Braineac
A653_993	0_028_10_1	Braineac	EBB	Braineac
A653_1166	0_97_37_1	Braineac	SHRI	Braineac
A653_121	0_023_09_1	Braineac	EBB	Braineac
A653_673	0_033_09_1	Braineac	EBB	Braineac
A653_1182	0_99_14_1	Braineac	SHRI	Braineac
A653_881	0_006_10_1	Braineac	EBB	Braineac
A653_888	0_007_10_1	Braineac	EBB	Braineac
A653_354	0_026_08_1	Braineac	EBB	Braineac
A653_316	0_023_09_1	Braineac	EBB	Braineac
A653_1141	0_016_10_1	Braineac	EBB	Braineac
A653_239	0_037_08_1	Braineac	EBB	Braineac
A653_950	0_006_10_1	Braineac	EBB	Braineac
A653_760	0_036_09_1	Braineac	EBB	Braineac
A653_453	0_002_08_1	Braineac	EBB	Braineac
A653_1332	0_04_05_1	Braineac	SHRI	Braineac
A653_874	0_011_10_1	Braineac	EBB	Braineac
A653_073	0_017_09_1	Braineac	EBB	Braineac
A653_058	0_015_09_1	Braineac	EBB	Braineac
A653_900	0_011_10_1	Braineac	EBB	Braineac
A653_165	0_039_06_1	Braineac	EBB	Braineac
A653_148	0_013_09_1	Braineac	EBB	Braineac
A653_1130	0_019_10_1	Braineac	EBB	Braineac
A653_1346	0_032_10_1	Braineac	EBB	Braineac
A653_471	0_034_06_1	Braineac	EBB	Braineac
A653_124	0_010_09_1	Braineac	EBB	Braineac
A653_506	0_012_08_1	Braineac	EBB	Braineac
A653_193	0_004_08_1	Braineac	EBB	Braineac
A653_247	0_035_06_1	Braineac	EBB	Braineac
A653_071	0_016_08_1	Braineac	EBB	Braineac
A653_762	0_027_09_1	Braineac	EBB	Braineac
A653_696	0_009_07_1	Braineac	EBB	Braineac
A653_085	0_023_09_1	Braineac	EBB	Braineac
A653_884	0_010_10_1	Braineac	EBB	Braineac
A653_273	0_011_09_1	Braineac	EBB	Braineac
A653_142	0_010_09_1	Braineac	EBB	Braineac
A653_1425	0_028_10_1	Braineac	EBB	Braineac
A653_651	0_032_09_1	Braineac	EBB	Braineac
A653_287	0_039_06_1	Braineac	EBB	Braineac
A653_940	0_012_10_1	Braineac	EBB	Braineac
A653_736	0_012_08_1	Braineac	EBB	Braineac
A653_890	0_007_10_1	Braineac	EBB	Braineac
A653_1198	0_97_02_1	Braineac	SHRI	Braineac
A653_032	0_018_09_1	Braineac	EBB	Braineac
A653_817	0_019_08_1	Braineac	EBB	Braineac
A653_1442	0_004_10_1	Braineac	EBB	Braineac
A653_616	0_030_09_1	Braineac	EBB	Braineac
A653_406	0_017_08_1	Braineac	EBB	Braineac
A653_288	0_038_08_1	Braineac	EBB	Braineac
2015-1472	2015-1472	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1341	2015-1341	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-767	2015-767	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-922	2016-922	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3080	2015-3080	PsychEncode	BrainGVEx	GVEX
2015-516	2015-516	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2590	2015-2590	PsychEncode	BrainGVEx	GVEX
2015-353	2015-353	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2585	2015-2585	PsychEncode	BrainGVEx	GVEX
2015-19	2015-19	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2623	2015-2623	PsychEncode	BrainGVEx	GVEX
2016-932	2016-932	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-738	2015-738	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-930	2016-930	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-766	2015-766	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3237	2015-3237	PsychEncode	BrainGVEx	GVEX
2015-2577	2015-2577	PsychEncode	BrainGVEx	GVEX
2015-2589	2015-2589	PsychEncode	BrainGVEx	GVEX
2015-1476	2015-1476	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-245	2015-245	PsychEncode	BrainGVEx	BrainGVEX-V2
2014-2627	2014-2627	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-870	2016-870	PsychEncode	BrainGVEx	GVEX
2015-2581	2015-2581	PsychEncode	BrainGVEx	GVEX
2016-896	2016-896	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-947	2016-947	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-286	2015-286	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-791	2016-791	PsychEncode	BrainGVEx	GVEX
2015-773	2015-773	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3279	2015-3279	PsychEncode	BrainGVEx	GVEX
2015-37	2015-37	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-962	2016-962	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2952	2015-2952	PsychEncode	BrainGVEx	GVEX
2015-1435	2015-1435	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-933	2016-933	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3230	2015-3230	PsychEncode	BrainGVEx	GVEX
2015-2572	2015-2572	PsychEncode	BrainGVEx	GVEX
2015-733	2015-733	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-833	2016-833	PsychEncode	BrainGVEx	GVEX
2015-1552	2015-1552	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-894	2015-894	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-735	2015-735	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-770	2015-770	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-17	2015-17	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3081	2015-3081	PsychEncode	BrainGVEx	GVEX
2016-958	2016-958	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-831	2016-831	PsychEncode	BrainGVEx	GVEX
2015-859	2015-859	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3281	2015-3281	PsychEncode	BrainGVEx	GVEX
2015-1533	2015-1533	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2951	2015-2951	PsychEncode	BrainGVEx	GVEX
2015-244	2015-244	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3079	2015-3079	PsychEncode	BrainGVEx	GVEX
2015-3235	2015-3235	PsychEncode	BrainGVEx	GVEX
2015-865	2015-865	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1343	2015-1343	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-826	2016-826	PsychEncode	BrainGVEx	GVEX
2016-866	2016-866	PsychEncode	BrainGVEx	GVEX
2015-1512	2015-1512	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-517	2015-517	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-961	2016-961	PsychEncode	BrainGVEx	BrainGVEX-V2
