RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
11320_CER	11320	AMP-AD	Mayo	AMPAD-MAYO-V2
134_CER	134	AMP-AD	Mayo	AMPAD-MAYO-V2
11472_CER	11472	AMP-AD	Mayo	AMPAD-MAYO-V2
11374_CER	11374	AMP-AD	Mayo	AMPAD-MAYO-V2
11452_CER	11452	AMP-AD	Mayo	AMPAD-MAYO-V2
11279_CER	11279	AMP-AD	Mayo	AMPAD-MAYO-V2
1919_CER	1919	AMP-AD	Mayo	AMPAD-MAYO-V2
1119_CER	1119	AMP-AD	Mayo	AMPAD-MAYO-V2
11494_CER	11494	AMP-AD	Mayo	AMPAD-MAYO-V2
11423_CER	11423	AMP-AD	Mayo	AMPAD-MAYO-V2
11371_CER	11371	AMP-AD	Mayo	AMPAD-MAYO-V2
892_CER	892	AMP-AD	Mayo	AMPAD-MAYO-V2
1159_CER	1159	AMP-AD	Mayo	AMPAD-MAYO-V2
11338_CER	11338	AMP-AD	Mayo	AMPAD-MAYO-V2
785_CER	785	AMP-AD	Mayo	AMPAD-MAYO-V2
6894_CER	6894	AMP-AD	Mayo	AMPAD-MAYO-V2
976_CER	976	AMP-AD	Mayo	AMPAD-MAYO-V2
787_CER	787	AMP-AD	Mayo	AMPAD-MAYO-V2
775_CER	775	AMP-AD	Mayo	AMPAD-MAYO-V2
11334_CER	11334	AMP-AD	Mayo	AMPAD-MAYO-V2
813_CER	813	AMP-AD	Mayo	AMPAD-MAYO-V2
11330_CER	11330	AMP-AD	Mayo	AMPAD-MAYO-V2
11313_CER	11313	AMP-AD	Mayo	AMPAD-MAYO-V2
11456_CER	11456	AMP-AD	Mayo	AMPAD-MAYO-V2
1129_CER	1129	AMP-AD	Mayo	AMPAD-MAYO-V2
11476_CER	11476	AMP-AD	Mayo	AMPAD-MAYO-V2
11323_CER	11323	AMP-AD	Mayo	AMPAD-MAYO-V2
11425_CER	11425	AMP-AD	Mayo	AMPAD-MAYO-V2
11303_CER	11303	AMP-AD	Mayo	AMPAD-MAYO-V2
1258_CER	1258	AMP-AD	Mayo	AMPAD-MAYO-V2
11397_CER	11397	AMP-AD	Mayo	AMPAD-MAYO-V2
1052_CER	1052	AMP-AD	Mayo	AMPAD-MAYO-V2
11329_CER	11329	AMP-AD	Mayo	AMPAD-MAYO-V2
11276_CER	11276	AMP-AD	Mayo	AMPAD-MAYO-V2
11305_CER	11305	AMP-AD	Mayo	AMPAD-MAYO-V2
1940_CER	1940	AMP-AD	Mayo	AMPAD-MAYO-V2
1029_CER	1029	AMP-AD	Mayo	AMPAD-MAYO-V2
11497_CER	11497	AMP-AD	Mayo	AMPAD-MAYO-V2
812_CER	812	AMP-AD	Mayo	AMPAD-MAYO-V2
11396_CER	11396	AMP-AD	Mayo	AMPAD-MAYO-V2
6925_CER	6925	AMP-AD	Mayo	AMPAD-MAYO-V2
834_CER	834	AMP-AD	Mayo	AMPAD-MAYO-V2
11502_CER	11502	AMP-AD	Mayo	AMPAD-MAYO-V2
11309_CER	11309	AMP-AD	Mayo	AMPAD-MAYO-V2
11385_CER	11385	AMP-AD	Mayo	AMPAD-MAYO-V2
777_CER	777	AMP-AD	Mayo	AMPAD-MAYO-V2
11470_CER	11470	AMP-AD	Mayo	AMPAD-MAYO-V2
1956_CER	1956	AMP-AD	Mayo	AMPAD-MAYO-V2
1302_CER	1302	AMP-AD	Mayo	AMPAD-MAYO-V2
11495_CER	11495	AMP-AD	Mayo	AMPAD-MAYO-V2
816_CER	816	AMP-AD	Mayo	AMPAD-MAYO-V2
1932_CER	1932	AMP-AD	Mayo	AMPAD-MAYO-V2
6915_CER	6915	AMP-AD	Mayo	AMPAD-MAYO-V2
7000_CER	7000	AMP-AD	Mayo	AMPAD-MAYO-V2
11427_CER	11427	AMP-AD	Mayo	AMPAD-MAYO-V2
1078_CER	1078	AMP-AD	Mayo	AMPAD-MAYO-V2
149_CER	149	AMP-AD	Mayo	AMPAD-MAYO-V2
11432_CER	11432	AMP-AD	Mayo	AMPAD-MAYO-V2
871_CER	871	AMP-AD	Mayo	AMPAD-MAYO-V2
11319_CER	11319	AMP-AD	Mayo	AMPAD-MAYO-V2
736_CER	736	AMP-AD	Mayo	AMPAD-MAYO-V2
1183_CER	1183	AMP-AD	Mayo	AMPAD-MAYO-V2
11394_CER	11394	AMP-AD	Mayo	AMPAD-MAYO-V2
11483_CER	11483	AMP-AD	Mayo	AMPAD-MAYO-V2
11491_CER	11491	AMP-AD	Mayo	AMPAD-MAYO-V2
11493_CER	11493	AMP-AD	Mayo	AMPAD-MAYO-V2
1955_CER	1955	AMP-AD	Mayo	AMPAD-MAYO-V2
11408_CER	11408	AMP-AD	Mayo	AMPAD-MAYO-V2
11355_CER	11355	AMP-AD	Mayo	AMPAD-MAYO-V2
1114_CER	1114	AMP-AD	Mayo	AMPAD-MAYO-V2
1019_CER	1019	AMP-AD	Mayo	AMPAD-MAYO-V2
11292_CER	11292	AMP-AD	Mayo	AMPAD-MAYO-V2
6863_CER	6863	AMP-AD	Mayo	AMPAD-MAYO-V2
1015_CER	1015	AMP-AD	Mayo	AMPAD-MAYO-V2
731_CER	731	AMP-AD	Mayo	AMPAD-MAYO-V2
791_CER	791	AMP-AD	Mayo	AMPAD-MAYO-V2
11285_CER	11285	AMP-AD	Mayo	AMPAD-MAYO-V2
11429_CER	11429	AMP-AD	Mayo	AMPAD-MAYO-V2
11241_CER	11241	AMP-AD	Mayo	AMPAD-MAYO-V2
11402_CER	11402	AMP-AD	Mayo	AMPAD-MAYO-V2
11357_CER	11357	AMP-AD	Mayo	AMPAD-MAYO-V2
894_CER	894	AMP-AD	Mayo	AMPAD-MAYO-V2
11507_CER	11507	AMP-AD	Mayo	AMPAD-MAYO-V2
1045_CER	1045	AMP-AD	Mayo	AMPAD-MAYO-V2
1105_CER	1105	AMP-AD	Mayo	AMPAD-MAYO-V2
6929_CER	6929	AMP-AD	Mayo	AMPAD-MAYO-V2
1089_CER	1089	AMP-AD	Mayo	AMPAD-MAYO-V2
11266_CER	11266	AMP-AD	Mayo	AMPAD-MAYO-V2
11271_CER	11271	AMP-AD	Mayo	AMPAD-MAYO-V2
1027_CER	1027	AMP-AD	Mayo	AMPAD-MAYO-V2
931_CER	931	AMP-AD	Mayo	AMPAD-MAYO-V2
11426_CER	11426	AMP-AD	Mayo	AMPAD-MAYO-V2
11422_CER	11422	AMP-AD	Mayo	AMPAD-MAYO-V2
948_CER	948	AMP-AD	Mayo	AMPAD-MAYO-V2
11307_CER	11307	AMP-AD	Mayo	AMPAD-MAYO-V2
11505_CER	11505	AMP-AD	Mayo	AMPAD-MAYO-V2
7016_CER	7016	AMP-AD	Mayo	AMPAD-MAYO-V2
1058_CER	1058	AMP-AD	Mayo	AMPAD-MAYO-V2
11445_CER	11445	AMP-AD	Mayo	AMPAD-MAYO-V2
991_CER	991	AMP-AD	Mayo	AMPAD-MAYO-V2
1146_CER	1146	AMP-AD	Mayo	AMPAD-MAYO-V2
11500_CER	11500	AMP-AD	Mayo	AMPAD-MAYO-V2
6819_CER	6819	AMP-AD	Mayo	AMPAD-MAYO-V2
6913_CER	6913	AMP-AD	Mayo	AMPAD-MAYO-V2
1950_CER	1950	AMP-AD	Mayo	AMPAD-MAYO-V2
14553_CER	14553	AMP-AD	Mayo	AMPAD-MAYO-V2
11258_CER	11258	AMP-AD	Mayo	AMPAD-MAYO-V2
11471_CER	11471	AMP-AD	Mayo	AMPAD-MAYO-V2
11389_CER	11389	AMP-AD	Mayo	AMPAD-MAYO-V2
11372_CER	11372	AMP-AD	Mayo	AMPAD-MAYO-V2
142_CER	142	AMP-AD	Mayo	AMPAD-MAYO-V2
7015_CER	7015	AMP-AD	Mayo	AMPAD-MAYO-V2
1960_CER	1960	AMP-AD	Mayo	AMPAD-MAYO-V2
6870_CER	6870	AMP-AD	Mayo	AMPAD-MAYO-V2
746_CER	746	AMP-AD	Mayo	AMPAD-MAYO-V2
1941_CER	1941	AMP-AD	Mayo	AMPAD-MAYO-V2
849_CER	849	AMP-AD	Mayo	AMPAD-MAYO-V2
11381_CER	11381	AMP-AD	Mayo	AMPAD-MAYO-V2
11306_CER	11306	AMP-AD	Mayo	AMPAD-MAYO-V2
1933_CER	1933	AMP-AD	Mayo	AMPAD-MAYO-V2
11290_CER	11290	AMP-AD	Mayo	AMPAD-MAYO-V2
11370_CER	11370	AMP-AD	Mayo	AMPAD-MAYO-V2
1034_CER	1034	AMP-AD	Mayo	AMPAD-MAYO-V2
766_CER	766	AMP-AD	Mayo	AMPAD-MAYO-V2
11264_CER	11264	AMP-AD	Mayo	AMPAD-MAYO-V2
1214_CER	1214	AMP-AD	Mayo	AMPAD-MAYO-V2
11253_CER	11253	AMP-AD	Mayo	AMPAD-MAYO-V2
11440_CER	11440	AMP-AD	Mayo	AMPAD-MAYO-V2
1239_CER	1239	AMP-AD	Mayo	AMPAD-MAYO-V2
6810_CER	6810	AMP-AD	Mayo	AMPAD-MAYO-V2
886_CER	886	AMP-AD	Mayo	AMPAD-MAYO-V2
11281_CER	11281	AMP-AD	Mayo	AMPAD-MAYO-V2
11263_CER	11263	AMP-AD	Mayo	AMPAD-MAYO-V2
6872_CER	6872	AMP-AD	Mayo	AMPAD-MAYO-V2
783_CER	783	AMP-AD	Mayo	AMPAD-MAYO-V2
11412_CER	11412	AMP-AD	Mayo	AMPAD-MAYO-V2
11460_CER	11460	AMP-AD	Mayo	AMPAD-MAYO-V2
11417_CER	11417	AMP-AD	Mayo	AMPAD-MAYO-V2
1200_CER	1200	AMP-AD	Mayo	AMPAD-MAYO-V2
11298_CER	11298	AMP-AD	Mayo	AMPAD-MAYO-V2
1963_CER	1963	AMP-AD	Mayo	AMPAD-MAYO-V2
1964_CER	1964	AMP-AD	Mayo	AMPAD-MAYO-V2
1938_CER	1938	AMP-AD	Mayo	AMPAD-MAYO-V2
1934_CER	1934	AMP-AD	Mayo	AMPAD-MAYO-V2
11294_CER	11294	AMP-AD	Mayo	AMPAD-MAYO-V2
1926_CER	1926	AMP-AD	Mayo	AMPAD-MAYO-V2
141_CER	141	AMP-AD	Mayo	AMPAD-MAYO-V2
11506_CER	11506	AMP-AD	Mayo	AMPAD-MAYO-V2
11475_CER	11475	AMP-AD	Mayo	AMPAD-MAYO-V2
11399_CER	11399	AMP-AD	Mayo	AMPAD-MAYO-V2
1952_CER	1952	AMP-AD	Mayo	AMPAD-MAYO-V2
933_CER	933	AMP-AD	Mayo	AMPAD-MAYO-V2
11300_CER	11300	AMP-AD	Mayo	AMPAD-MAYO-V2
11325_CER	11325	AMP-AD	Mayo	AMPAD-MAYO-V2
14549_CER	14549	AMP-AD	Mayo	AMPAD-MAYO-V2
6914_CER	6914	AMP-AD	Mayo	AMPAD-MAYO-V2
11391_CER	11391	AMP-AD	Mayo	AMPAD-MAYO-V2
1036_CER	1036	AMP-AD	Mayo	AMPAD-MAYO-V2
1098_CER	1098	AMP-AD	Mayo	AMPAD-MAYO-V2
14552_CER	14552	AMP-AD	Mayo	AMPAD-MAYO-V2
11341_CER	11341	AMP-AD	Mayo	AMPAD-MAYO-V2
6952_CER	6952	AMP-AD	Mayo	AMPAD-MAYO-V2
937_CER	937	AMP-AD	Mayo	AMPAD-MAYO-V2
11424_CER	11424	AMP-AD	Mayo	AMPAD-MAYO-V2
11464_CER	11464	AMP-AD	Mayo	AMPAD-MAYO-V2
11395_CER	11395	AMP-AD	Mayo	AMPAD-MAYO-V2
1958_CER	1958	AMP-AD	Mayo	AMPAD-MAYO-V2
11331_CER	11331	AMP-AD	Mayo	AMPAD-MAYO-V2
11410_CER	11410	AMP-AD	Mayo	AMPAD-MAYO-V2
896_CER	896	AMP-AD	Mayo	AMPAD-MAYO-V2
1937_CER	1937	AMP-AD	Mayo	AMPAD-MAYO-V2
11265_CER	11265	AMP-AD	Mayo	AMPAD-MAYO-V2
11449_CER	11449	AMP-AD	Mayo	AMPAD-MAYO-V2
1000_CER	1000	AMP-AD	Mayo	AMPAD-MAYO-V2
6880_CER	6880	AMP-AD	Mayo	AMPAD-MAYO-V2
11458_CER	11458	AMP-AD	Mayo	AMPAD-MAYO-V2
11492_CER	11492	AMP-AD	Mayo	AMPAD-MAYO-V2
11267_CER	11267	AMP-AD	Mayo	AMPAD-MAYO-V2
11317_CER	11317	AMP-AD	Mayo	AMPAD-MAYO-V2
11499_CER	11499	AMP-AD	Mayo	AMPAD-MAYO-V2
11448_CER	11448	AMP-AD	Mayo	AMPAD-MAYO-V2
1942_CER	1942	AMP-AD	Mayo	AMPAD-MAYO-V2
11295_CER	11295	AMP-AD	Mayo	AMPAD-MAYO-V2
11287_CER	11287	AMP-AD	Mayo	AMPAD-MAYO-V2
11400_CER	11400	AMP-AD	Mayo	AMPAD-MAYO-V2
11337_CER	11337	AMP-AD	Mayo	AMPAD-MAYO-V2
946_CER	946	AMP-AD	Mayo	AMPAD-MAYO-V2
11312_CER	11312	AMP-AD	Mayo	AMPAD-MAYO-V2
1103_CER	1103	AMP-AD	Mayo	AMPAD-MAYO-V2
11377_CER	11377	AMP-AD	Mayo	AMPAD-MAYO-V2
11353_CER	11353	AMP-AD	Mayo	AMPAD-MAYO-V2
11275_CER	11275	AMP-AD	Mayo	AMPAD-MAYO-V2
11291_CER	11291	AMP-AD	Mayo	AMPAD-MAYO-V2
1951_CER	1951	AMP-AD	Mayo	AMPAD-MAYO-V2
1936_CER	1936	AMP-AD	Mayo	AMPAD-MAYO-V2
966_CER	966	AMP-AD	Mayo	AMPAD-MAYO-V2
1944_CER	1944	AMP-AD	Mayo	AMPAD-MAYO-V2
11393_CER	11393	AMP-AD	Mayo	AMPAD-MAYO-V2
1945_CER	1945	AMP-AD	Mayo	AMPAD-MAYO-V2
11404_CER	11404	AMP-AD	Mayo	AMPAD-MAYO-V2
1282_CER	1282	AMP-AD	Mayo	AMPAD-MAYO-V2
1172_CER	1172	AMP-AD	Mayo	AMPAD-MAYO-V2
11485_CER	11485	AMP-AD	Mayo	AMPAD-MAYO-V2
11254_CER	11254	AMP-AD	Mayo	AMPAD-MAYO-V2
732_CER	732	AMP-AD	Mayo	AMPAD-MAYO-V2
11403_CER	11403	AMP-AD	Mayo	AMPAD-MAYO-V2
1166_CER	1166	AMP-AD	Mayo	AMPAD-MAYO-V2
11314_CER	11314	AMP-AD	Mayo	AMPAD-MAYO-V2
797_CER	797	AMP-AD	Mayo	AMPAD-MAYO-V2
11457_CER	11457	AMP-AD	Mayo	AMPAD-MAYO-V2
11498_CER	11498	AMP-AD	Mayo	AMPAD-MAYO-V2
11342_CER	11342	AMP-AD	Mayo	AMPAD-MAYO-V2
1085_CER	1085	AMP-AD	Mayo	AMPAD-MAYO-V2
952_CER	952	AMP-AD	Mayo	AMPAD-MAYO-V2
11249_CER	11249	AMP-AD	Mayo	AMPAD-MAYO-V2
6821_CER	6821	AMP-AD	Mayo	AMPAD-MAYO-V2
11469_CER	11469	AMP-AD	Mayo	AMPAD-MAYO-V2
11383_CER	11383	AMP-AD	Mayo	AMPAD-MAYO-V2
11468_CER	11468	AMP-AD	Mayo	AMPAD-MAYO-V2
744_CER	744	AMP-AD	Mayo	AMPAD-MAYO-V2
1953_CER	1953	AMP-AD	Mayo	AMPAD-MAYO-V2
1046_CER	1046	AMP-AD	Mayo	AMPAD-MAYO-V2
11344_CER	11344	AMP-AD	Mayo	AMPAD-MAYO-V2
1924_CER	1924	AMP-AD	Mayo	AMPAD-MAYO-V2
1271_CER	1271	AMP-AD	Mayo	AMPAD-MAYO-V2
11431_CER	11431	AMP-AD	Mayo	AMPAD-MAYO-V2
1931_CER	1931	AMP-AD	Mayo	AMPAD-MAYO-V2
1929_CER	1929	AMP-AD	Mayo	AMPAD-MAYO-V2
11255_CER	11255	AMP-AD	Mayo	AMPAD-MAYO-V2
1059_CER	1059	AMP-AD	Mayo	AMPAD-MAYO-V2
1943_CER	1943	AMP-AD	Mayo	AMPAD-MAYO-V2
11417_TCX	11417	AMP-AD	Mayo	AMPAD-MAYO-V2
813_TCX	813	AMP-AD	Mayo	AMPAD-MAYO-V2
11443_TCX	11443	AMP-AD	Mayo	AMPAD-MAYO-V2
11309_TCX	11309	AMP-AD	Mayo	AMPAD-MAYO-V2
11483_TCX	11483	AMP-AD	Mayo	AMPAD-MAYO-V2
11403_TCX	11403	AMP-AD	Mayo	AMPAD-MAYO-V2
1952_TCX	1952	AMP-AD	Mayo	AMPAD-MAYO-V2
797_TCX	797	AMP-AD	Mayo	AMPAD-MAYO-V2
1943_TCX	1943	AMP-AD	Mayo	AMPAD-MAYO-V2
11497_TCX	11497	AMP-AD	Mayo	AMPAD-MAYO-V2
11429_TCX	11429	AMP-AD	Mayo	AMPAD-MAYO-V2
11395_TCX	11395	AMP-AD	Mayo	AMPAD-MAYO-V2
11334_TCX	11334	AMP-AD	Mayo	AMPAD-MAYO-V2
11329_TCX	11329	AMP-AD	Mayo	AMPAD-MAYO-V2
787_TCX	787	AMP-AD	Mayo	AMPAD-MAYO-V2
1951_TCX	1951	AMP-AD	Mayo	AMPAD-MAYO-V2
6870_TCX	6870	AMP-AD	Mayo	AMPAD-MAYO-V2
834_TCX	834	AMP-AD	Mayo	AMPAD-MAYO-V2
886_TCX	886	AMP-AD	Mayo	AMPAD-MAYO-V2
1924_TCX	1924	AMP-AD	Mayo	AMPAD-MAYO-V2
11290_TCX	11290	AMP-AD	Mayo	AMPAD-MAYO-V2
11397_TCX	11397	AMP-AD	Mayo	AMPAD-MAYO-V2
11383_TCX	11383	AMP-AD	Mayo	AMPAD-MAYO-V2
11358_TCX	11358	AMP-AD	Mayo	AMPAD-MAYO-V2
11494_TCX	11494	AMP-AD	Mayo	AMPAD-MAYO-V2
11486_TCX	11486	AMP-AD	Mayo	AMPAD-MAYO-V2
1955_TCX	1955	AMP-AD	Mayo	AMPAD-MAYO-V2
11337_TCX	11337	AMP-AD	Mayo	AMPAD-MAYO-V2
744_TCX	744	AMP-AD	Mayo	AMPAD-MAYO-V2
1944_TCX	1944	AMP-AD	Mayo	AMPAD-MAYO-V2
1926_TCX	1926	AMP-AD	Mayo	AMPAD-MAYO-V2
1119_TCX	1119	AMP-AD	Mayo	AMPAD-MAYO-V2
1010_TCX	1010	AMP-AD	Mayo	AMPAD-MAYO-V2
1121_TCX	1121	AMP-AD	Mayo	AMPAD-MAYO-V2
946_TCX	946	AMP-AD	Mayo	AMPAD-MAYO-V2
732_TCX	732	AMP-AD	Mayo	AMPAD-MAYO-V2
850_TCX	850	AMP-AD	Mayo	AMPAD-MAYO-V2
11412_TCX	11412	AMP-AD	Mayo	AMPAD-MAYO-V2
11267_TCX	11267	AMP-AD	Mayo	AMPAD-MAYO-V2
933_TCX	933	AMP-AD	Mayo	AMPAD-MAYO-V2
859_TCX	859	AMP-AD	Mayo	AMPAD-MAYO-V2
11300_TCX	11300	AMP-AD	Mayo	AMPAD-MAYO-V2
1172_TCX	1172	AMP-AD	Mayo	AMPAD-MAYO-V2
11480_TCX	11480	AMP-AD	Mayo	AMPAD-MAYO-V2
896_TCX	896	AMP-AD	Mayo	AMPAD-MAYO-V2
11398_TCX	11398	AMP-AD	Mayo	AMPAD-MAYO-V2
11255_TCX	11255	AMP-AD	Mayo	AMPAD-MAYO-V2
871_TCX	871	AMP-AD	Mayo	AMPAD-MAYO-V2
6894_TCX	6894	AMP-AD	Mayo	AMPAD-MAYO-V2
828_TCX	828	AMP-AD	Mayo	AMPAD-MAYO-V2
11338_TCX	11338	AMP-AD	Mayo	AMPAD-MAYO-V2
1089_TCX	1089	AMP-AD	Mayo	AMPAD-MAYO-V2
775_TCX	775	AMP-AD	Mayo	AMPAD-MAYO-V2
1195_TCX	1195	AMP-AD	Mayo	AMPAD-MAYO-V2
11471_TCX	11471	AMP-AD	Mayo	AMPAD-MAYO-V2
6925_TCX	6925	AMP-AD	Mayo	AMPAD-MAYO-V2
1929_TCX	1929	AMP-AD	Mayo	AMPAD-MAYO-V2
11424_TCX	11424	AMP-AD	Mayo	AMPAD-MAYO-V2
1034_TCX	1034	AMP-AD	Mayo	AMPAD-MAYO-V2
1098_TCX	1098	AMP-AD	Mayo	AMPAD-MAYO-V2
11440_TCX	11440	AMP-AD	Mayo	AMPAD-MAYO-V2
981_TCX	981	AMP-AD	Mayo	AMPAD-MAYO-V2
11426_TCX	11426	AMP-AD	Mayo	AMPAD-MAYO-V2
11481_TCX	11481	AMP-AD	Mayo	AMPAD-MAYO-V2
11322_TCX	11322	AMP-AD	Mayo	AMPAD-MAYO-V2
11410_TCX	11410	AMP-AD	Mayo	AMPAD-MAYO-V2
11408_TCX	11408	AMP-AD	Mayo	AMPAD-MAYO-V2
1956_TCX	1956	AMP-AD	Mayo	AMPAD-MAYO-V2
134_TCX	134	AMP-AD	Mayo	AMPAD-MAYO-V2
1047_TCX	1047	AMP-AD	Mayo	AMPAD-MAYO-V2
1945_TCX	1945	AMP-AD	Mayo	AMPAD-MAYO-V2
777_TCX	777	AMP-AD	Mayo	AMPAD-MAYO-V2
6821_TCX	6821	AMP-AD	Mayo	AMPAD-MAYO-V2
1137_TCX	1137	AMP-AD	Mayo	AMPAD-MAYO-V2
1963_TCX	1963	AMP-AD	Mayo	AMPAD-MAYO-V2
141_TCX	141	AMP-AD	Mayo	AMPAD-MAYO-V2
751_TCX	751	AMP-AD	Mayo	AMPAD-MAYO-V2
851_TCX	851	AMP-AD	Mayo	AMPAD-MAYO-V2
11452_TCX	11452	AMP-AD	Mayo	AMPAD-MAYO-V2
11456_TCX	11456	AMP-AD	Mayo	AMPAD-MAYO-V2
1114_TCX	1114	AMP-AD	Mayo	AMPAD-MAYO-V2
11505_TCX	11505	AMP-AD	Mayo	AMPAD-MAYO-V2
11492_TCX	11492	AMP-AD	Mayo	AMPAD-MAYO-V2
6914_TCX	6914	AMP-AD	Mayo	AMPAD-MAYO-V2
11449_TCX	11449	AMP-AD	Mayo	AMPAD-MAYO-V2
11319_TCX	11319	AMP-AD	Mayo	AMPAD-MAYO-V2
11460_TCX	11460	AMP-AD	Mayo	AMPAD-MAYO-V2
11271_TCX	11271	AMP-AD	Mayo	AMPAD-MAYO-V2
11495_TCX	11495	AMP-AD	Mayo	AMPAD-MAYO-V2
11468_TCX	11468	AMP-AD	Mayo	AMPAD-MAYO-V2
11307_TCX	11307	AMP-AD	Mayo	AMPAD-MAYO-V2
11370_TCX	11370	AMP-AD	Mayo	AMPAD-MAYO-V2
11281_TCX	11281	AMP-AD	Mayo	AMPAD-MAYO-V2
11493_TCX	11493	AMP-AD	Mayo	AMPAD-MAYO-V2
11377_TCX	11377	AMP-AD	Mayo	AMPAD-MAYO-V2
7000_TCX	7000	AMP-AD	Mayo	AMPAD-MAYO-V2
11333_TCX	11333	AMP-AD	Mayo	AMPAD-MAYO-V2
11327_TCX	11327	AMP-AD	Mayo	AMPAD-MAYO-V2
6863_TCX	6863	AMP-AD	Mayo	AMPAD-MAYO-V2
1936_TCX	1936	AMP-AD	Mayo	AMPAD-MAYO-V2
1239_TCX	1239	AMP-AD	Mayo	AMPAD-MAYO-V2
11254_TCX	11254	AMP-AD	Mayo	AMPAD-MAYO-V2
11469_TCX	11469	AMP-AD	Mayo	AMPAD-MAYO-V2
11423_TCX	11423	AMP-AD	Mayo	AMPAD-MAYO-V2
966_TCX	966	AMP-AD	Mayo	AMPAD-MAYO-V2
1942_TCX	1942	AMP-AD	Mayo	AMPAD-MAYO-V2
1935_TCX	1935	AMP-AD	Mayo	AMPAD-MAYO-V2
11489_TCX	11489	AMP-AD	Mayo	AMPAD-MAYO-V2
812_TCX	812	AMP-AD	Mayo	AMPAD-MAYO-V2
1045_TCX	1045	AMP-AD	Mayo	AMPAD-MAYO-V2
6880_TCX	6880	AMP-AD	Mayo	AMPAD-MAYO-V2
11345_TCX	11345	AMP-AD	Mayo	AMPAD-MAYO-V2
1931_TCX	1931	AMP-AD	Mayo	AMPAD-MAYO-V2
766_TCX	766	AMP-AD	Mayo	AMPAD-MAYO-V2
1960_TCX	1960	AMP-AD	Mayo	AMPAD-MAYO-V2
1015_TCX	1015	AMP-AD	Mayo	AMPAD-MAYO-V2
6976_TCX	6976	AMP-AD	Mayo	AMPAD-MAYO-V2
11474_TCX	11474	AMP-AD	Mayo	AMPAD-MAYO-V2
11463_TCX	11463	AMP-AD	Mayo	AMPAD-MAYO-V2
11276_TCX	11276	AMP-AD	Mayo	AMPAD-MAYO-V2
11317_TCX	11317	AMP-AD	Mayo	AMPAD-MAYO-V2
816_TCX	816	AMP-AD	Mayo	AMPAD-MAYO-V2
731_TCX	731	AMP-AD	Mayo	AMPAD-MAYO-V2
142_TCX	142	AMP-AD	Mayo	AMPAD-MAYO-V2
11400_TCX	11400	AMP-AD	Mayo	AMPAD-MAYO-V2
11349_TCX	11349	AMP-AD	Mayo	AMPAD-MAYO-V2
11394_TCX	11394	AMP-AD	Mayo	AMPAD-MAYO-V2
11253_TCX	11253	AMP-AD	Mayo	AMPAD-MAYO-V2
11344_TCX	11344	AMP-AD	Mayo	AMPAD-MAYO-V2
11353_TCX	11353	AMP-AD	Mayo	AMPAD-MAYO-V2
11265_TCX	11265	AMP-AD	Mayo	AMPAD-MAYO-V2
11447_TCX	11447	AMP-AD	Mayo	AMPAD-MAYO-V2
1052_TCX	1052	AMP-AD	Mayo	AMPAD-MAYO-V2
11295_TCX	11295	AMP-AD	Mayo	AMPAD-MAYO-V2
11266_TCX	11266	AMP-AD	Mayo	AMPAD-MAYO-V2
11472_TCX	11472	AMP-AD	Mayo	AMPAD-MAYO-V2
11385_TCX	11385	AMP-AD	Mayo	AMPAD-MAYO-V2
11341_TCX	11341	AMP-AD	Mayo	AMPAD-MAYO-V2
11306_TCX	11306	AMP-AD	Mayo	AMPAD-MAYO-V2
7015_TCX	7015	AMP-AD	Mayo	AMPAD-MAYO-V2
11291_TCX	11291	AMP-AD	Mayo	AMPAD-MAYO-V2
11491_TCX	11491	AMP-AD	Mayo	AMPAD-MAYO-V2
786_TCX	786	AMP-AD	Mayo	AMPAD-MAYO-V2
1941_TCX	1941	AMP-AD	Mayo	AMPAD-MAYO-V2
11500_TCX	11500	AMP-AD	Mayo	AMPAD-MAYO-V2
1964_TCX	1964	AMP-AD	Mayo	AMPAD-MAYO-V2
736_TCX	736	AMP-AD	Mayo	AMPAD-MAYO-V2
11355_TCX	11355	AMP-AD	Mayo	AMPAD-MAYO-V2
11346_TCX	11346	AMP-AD	Mayo	AMPAD-MAYO-V2
11374_TCX	11374	AMP-AD	Mayo	AMPAD-MAYO-V2
1078_TCX	1078	AMP-AD	Mayo	AMPAD-MAYO-V2
11321_TCX	11321	AMP-AD	Mayo	AMPAD-MAYO-V2
11393_TCX	11393	AMP-AD	Mayo	AMPAD-MAYO-V2
11457_TCX	11457	AMP-AD	Mayo	AMPAD-MAYO-V2
6819_TCX	6819	AMP-AD	Mayo	AMPAD-MAYO-V2
11372_TCX	11372	AMP-AD	Mayo	AMPAD-MAYO-V2
11428_TCX	11428	AMP-AD	Mayo	AMPAD-MAYO-V2
11425_TCX	11425	AMP-AD	Mayo	AMPAD-MAYO-V2
1103_TCX	1103	AMP-AD	Mayo	AMPAD-MAYO-V2
1200_TCX	1200	AMP-AD	Mayo	AMPAD-MAYO-V2
11433_TCX	11433	AMP-AD	Mayo	AMPAD-MAYO-V2
1275_TCX	1275	AMP-AD	Mayo	AMPAD-MAYO-V2
11498_TCX	11498	AMP-AD	Mayo	AMPAD-MAYO-V2
1129_TCX	1129	AMP-AD	Mayo	AMPAD-MAYO-V2
952_TCX	952	AMP-AD	Mayo	AMPAD-MAYO-V2
11445_TCX	11445	AMP-AD	Mayo	AMPAD-MAYO-V2
